,index,weight,date,21day_return,portfolio_return,month_label,portfolio_return_pred
0,ABT,0.10113,5/1/2024,-4.280741368,-0.432911375,2024-05,-0.004697591
1,ADM,0.0297,5/1/2024,3.889839531013024,0.1155282340710868,2024-05,-0.004697591
2,APD,0.01174,5/1/2024,9.688829003328323,0.1137468524990745,2024-05,-0.004697591
3,BALL,0.00818,5/1/2024,0.5565319274658123,0.004552431,2024-05,-0.004697591
4,CMCSA,0.02245,5/1/2024,1.753926701593201,0.039375654,2024-05,-0.004697591
5,EA,0.18438,5/1/2024,2.526864258342471,0.4659032319531847,2024-05,-0.004697591
6,GLW,0.01448,5/1/2024,10.39426523292218,0.1505089605727132,2024-05,-0.004697591
7,GOOG,0.01123,5/1/2024,4.825751699624334,0.054193192,2024-05,-0.004697591
8,NEM,0.04046,5/1/2024,3.228191227,0.1306126170507014,2024-05,-0.004697591
9,OXY,0.00143,5/1/2024,-5.027152832,-0.007188829,2024-05,-0.004697591
10,SYY,0.04454,5/1/2024,-1.916495551,-0.085360712,2024-05,-0.004697591
11,TSN,0.11616,5/1/2024,-5.340852546,-0.620393432,2024-05,-0.004697591
12,UNH,0.17577,5/1/2024,-0.508148974,-0.089317345,2024-05,-0.004697591
13,VLO,0.04329,5/1/2024,-2.370551201,-0.102621162,2024-05,-0.004697591
14,WEC,0.16209,5/1/2024,-3.0878875,-0.500515685,2024-05,-0.004697591
15,WELL,0.03296,5/1/2024,8.923793719316578,0.2941282409886744,2024-05,-0.004697591
16,ABT,0.11348,6/3/2024,0.320793234,0.036403616,2024-06,0.001343068
17,ADM,0.03464,6/3/2024,0.2258428777845154,0.007823197,2024-06,0.001343068
18,APD,0.00963,6/3/2024,-6.686282722,-0.064388903,2024-06,0.001343068
19,BALL,0.00586,6/3/2024,-14.28366351,-0.083702268,2024-06,0.001343068
20,CMCSA,0.03457,6/3/2024,-3.587670541,-0.124025771,2024-06,0.001343068
21,EA,0.18941,6/3/2024,4.428904428905994,0.8388787878790844,2024-06,0.001343068
22,EMR,0.00848,6/3/2024,0.2201229019156017,0.001866642,2024-06,0.001343068
23,GLW,0.00437,6/3/2024,2.756959315,0.012047912,2024-06,0.001343068
24,GOOG,0.00462,6/3/2024,7.110625782,0.032851091,2024-06,0.001343068
25,NEM,0.03692,6/3/2024,0.1844797303150187,0.006810992,2024-06,0.001343068
26,OXY,0.00073,6/3/2024,3.32976494,0.002430728,2024-06,0.001343068
27,SYY,0.05725,6/3/2024,-3.552397869,-0.203374778,2024-06,0.001343068
28,TSN,0.10599,6/3/2024,0.3507541214244014,0.037176429,2024-06,0.001343068
29,UNH,0.15745,6/3/2024,0.5907597018355375,0.093015115,2024-06,0.001343068
30,VLO,0.04673,6/3/2024,2.611407041754887,0.1220310510612059,2024-06,0.001343068
31,WEC,0.16307,6/3/2024,-3.86794777,-0.630746243,2024-06,0.001343068
32,WELL,0.02681,6/3/2024,1.835479531,0.049209206,2024-06,0.001343068
33,ABT,0.11443,7/1/2024,2.599425230229883,0.2974522290952056,2024-07,0.087531597
34,ADM,0.0336,7/1/2024,3.067282321840167,0.1030606860138296,2024-07,0.087531597
35,APD,0.01485,7/1/2024,6.828656909513015,0.1014055551062683,2024-07,0.087531597
36,BALL,0.00573,7/1/2024,6.213266162965667,0.035602015,2024-07,0.087531597
37,CMCSA,0.03241,7/1/2024,7.787493326,0.2523926586804672,2024-07,0.087531597
38,EA,0.18839,7/1/2024,8.593067288,1.618847946407962,2024-07,0.087531597
39,EMR,0.01021,7/1/2024,7.080055529857844,0.072287367,2024-07,0.087531597
40,GLW,0.00666,7/1/2024,2.793585101,0.018605277,2024-07,0.087531597
41,GOOG,0.00635,7/1/2024,-6.845898223,-0.043471454,2024-07,0.087531597
42,NEM,0.03668,7/1/2024,13.82953181293156,0.5072672268983297,2024-07,0.087531597
43,OXY,0.00041,7/1/2024,-4.150763359,-0.001701813,2024-07,0.087531597
44,SYY,0.05689,7/1/2024,10.18734420285827,0.5795580117006071,2024-07,0.087531597
45,TSN,0.10349,7/1/2024,6.188981868947366,0.6404977336173628,2024-07,0.087531597
46,UNH,0.1537,7/1/2024,16.51268573738467,2.537999797836024,2024-07,0.087531597
47,VLO,0.04606,7/1/2024,3.481453348525747,0.1603557412330959,2024-07,0.087531597
48,WEC,0.16225,7/1/2024,10.18149053928148,1.651946839998421,2024-07,0.087531597
49,WELL,0.0279,7/1/2024,7.923076923020901,0.2210538461522831,2024-07,0.087531597
50,ABT,0.11667,8/1/2024,2.369496141618654,0.2764491148426484,2024-08,0.026177345
51,ADM,0.03408,8/1/2024,1.444573100987071,0.049231051,2024-08,0.026177345
52,APD,0.01509,8/1/2024,-3.607332939,-0.054434654,2024-08,0.026177345
53,BALL,0.00558,8/1/2024,-3.331267431,-0.018588472,2024-08,0.026177345
54,CMCSA,0.02724,8/1/2024,-1.987083954,-0.054128167,2024-08,0.026177345
55,EA,0.18439,8/1/2024,1.375460488281234,0.2536211594341768,2024-08,0.026177345
56,EMR,0.00815,8/1/2024,-7.48952813,-0.061039654,2024-08,0.026177345
57,GLW,0.01432,8/1/2024,4.570429570351052,0.065448551,2024-08,0.026177345
58,GOOG,0.01562,8/1/2024,-5.247893083,-0.08197209,2024-08,0.026177345
59,NEM,0.03381,8/1/2024,7.325933400519389,0.2476898082715605,2024-08,0.026177345
60,OXY,0.00264,8/1/2024,-3.654429101,-0.009647693,2024-08,0.026177345
61,SYK,0.00136,8/1/2024,7.431641504346985,0.010107032,2024-08,0.026177345
62,SYY,0.04845,8/1/2024,2.268829969756709,0.1099248120347125,2024-08,0.026177345
63,TSN,0.10465,8/1/2024,6.402238314727214,0.66999424,2024-08,0.026177345
64,UNH,0.14243,8/1/2024,3.282294812932122,0.4674972502059221,2024-08,0.026177345
65,VLO,0.04646,8/1/2024,-9.357622244,-0.434755129,2024-08,0.026177345
66,WEC,0.16491,8/1/2024,5.538949581459818,0.9134281754785385,2024-08,0.026177345
67,WELL,0.03414,8/1/2024,7.876660254497253,0.2689091810885362,2024-08,0.026177345
68,ABT,0.1165,9/3/2024,-0.959358102,-0.111765219,2024-09,-0.006125337
69,ADM,0.03526,9/3/2024,-1.814582646,-0.063982184,2024-09,-0.006125337
70,APD,0.01645,9/3/2024,6.544569206742551,0.107658163,2024-09,-0.006125337
71,BALL,0.00454,9/3/2024,5.805946791925052,0.026358998,2024-09,-0.006125337
72,CMCSA,0.02752,9/3/2024,5.569620253301849,0.1532759493708669,2024-09,-0.006125337
73,EA,0.18474,9/3/2024,-2.721739725,-0.502814197,2024-09,-0.006125337
74,EMR,0.00531,9/3/2024,7.096647716139444,0.037683199,2024-09,-0.006125337
75,GLW,0.01255,9/3/2024,9.515613474198005,0.119420949,2024-09,-0.006125337
76,GOOG,0.0158,9/3/2024,6.324760286,0.099931213,2024-09,-0.006125337
77,NEM,0.03243,9/3/2024,4.076218331966274,0.1321917605056663,2024-09,-0.006125337
78,OXY,0.00277,9/3/2024,-3.469381519,-0.009610187,2024-09,-0.006125337
79,SYY,0.04834,9/3/2024,-0.677143222,-0.032733103,2024-09,-0.006125337
80,TSN,0.10781,9/3/2024,-7.792007406,-0.840056318,2024-09,-0.006125337
81,UNH,0.14085,9/3/2024,-2.221690516,-0.312925109,2024-09,-0.006125337
82,VLO,0.04741,9/3/2024,-2.758718257,-0.130790833,2024-09,-0.006125337
83,WEC,0.16522,9/3/2024,3.332265299509274,0.5505568727849223,2024-09,-0.006125337
84,WELL,0.0365,9/3/2024,4.522366049462164,0.165066361,2024-09,-0.006125337
85,ABT,0.10708,10/1/2024,0.3323712208288043,0.03559031,2024-10,-0.005558377
86,ADM,0.02636,10/1/2024,-5.376344086,-0.14172043,2024-10,-0.005558377
87,AMZN,0.00185,10/1/2024,3.078917517420194,0.005695997,2024-10,-0.005558377
88,APD,0.02668,10/1/2024,8.190646124287241,0.2185264385959836,2024-10,-0.005558377
89,BALL,0.01091,10/1/2024,-6.389587339,-0.069710398,2024-10,-0.005558377
90,CMCSA,0.04287,10/1/2024,1.644555541899308,0.070502096,2024-10,-0.005558377
91,CNP,0.02976,10/1/2024,-1.538976246,-0.045799933,2024-10,-0.005558377
92,EA,0.15872,10/1/2024,2.369068541313794,0.3760185588773254,2024-10,-0.005558377
93,EMR,0.01092,10/1/2024,-0.320336811,-0.003498078,2024-10,-0.005558377
94,GLW,0.03234,10/1/2024,10.08082622356874,0.3260139200702129,2024-10,-0.005558377
95,GOOG,0.01291,10/1/2024,1.615016467926097,0.020849863,2024-10,-0.005558377
96,HES,0.00208,10/1/2024,-3.144789868,-0.006541163,2024-10,-0.005558377
97,NEM,0.03107,10/1/2024,-11.7103805,-0.363841522,2024-10,-0.005558377
98,SYY,0.03981,10/1/2024,-3.946985021,-0.157129474,2024-10,-0.005558377
99,TSN,0.08001,10/1/2024,-2.325970549,-0.186100904,2024-10,-0.005558377
100,UNH,0.14134,10/1/2024,-3.629350249,-0.512972364,2024-10,-0.005558377
101,VLO,0.03659,10/1/2024,-6.976067506,-0.25525431,2024-10,-0.005558377
102,WEC,0.16046,10/1/2024,-1.467700258,-0.235507183,2024-10,-0.005558377
103,WELL,0.04824,10/1/2024,7.650101896887307,0.3690409155058437,2024-10,-0.005558377
104,ABT,0.11429,11/1/2024,-1.509274874,-0.172495025,2024-11,0.0525971
105,ADM,0.03626,11/1/2024,0.2565012521881016,0.009300735,2024-11,0.0525971
106,APD,0.01921,11/1/2024,8.541120921069663,0.1640749328937482,2024-11,0.0525971
107,BALL,0.00252,11/1/2024,6.812404677290502,0.01716726,2024-11,0.0525971
108,CMCSA,0.03,11/1/2024,-0.619834711,-0.018595041,2024-11,0.0525971
109,CNP,0.00131,11/1/2024,12.67222102520864,0.01660061,2024-11,0.0525971
110,EA,0.18434,11/1/2024,9.846179888,1.815044801,2024-11,0.0525971
111,EMR,0.00131,11/1/2024,23.84896151,0.03124214,2024-11,0.0525971
112,GLW,0.01428,11/1/2024,2.432925354962777,0.034742174,2024-11,0.0525971
113,GOOG,0.01801,11/1/2024,0.1911311545946575,0.003442272,2024-11,0.0525971
114,NEM,0.03004,11/1/2024,-9.073618627,-0.272571504,2024-11,0.0525971
115,OXY,0.00416,11/1/2024,1.714746822571712,0.007133347,2024-11,0.0525971
116,ROST,0.00074,11/1/2024,11.63786948451579,0.008612023,2024-11,0.0525971
117,SYY,0.04799,11/1/2024,1.652672264472102,0.079311742,2024-11,0.0525971
118,TSN,0.10443,11/1/2024,11.10137027,1.159316097364136,2024-11,0.0525971
119,UNH,0.13738,11/1/2024,7.216858129530451,0.9914519698348934,2024-11,0.0525971
120,VLO,0.04665,11/1/2024,10.12476011707686,0.4723200594616355,2024-11,0.0525971
121,WEC,0.16816,11/1/2024,5.185374201,0.8719725256956276,2024-11,0.0525971
122,WELL,0.03893,11/1/2024,1.069582338448896,0.04163884,2024-11,0.0525971
123,ABT,0.11575,12/2/2024,-3.167537026,-0.366642411,2024-12,-0.08680987
124,ADM,0.04124,12/2/2024,-6.909894969,-0.284964069,2024-12,-0.08680987
125,APD,0.01966,12/2/2024,-13.58083547,-0.266999225,2024-12,-0.08680987
126,BALL,0.00278,12/2/2024,-12.25529206,-0.034069712,2024-12,-0.08680987
127,CMCSA,0.02672,12/2/2024,-13.30561331,-0.355525988,2024-12,-0.08680987
128,CNP,0.00418,12/2/2024,-0.812753985,-0.003397312,2024-12,-0.08680987
129,EA,0.18441,12/2/2024,-11.84622801,-2.184562907,2024-12,-0.08680987
130,GLW,0.01312,12/2/2024,-3.493095045,-0.045829407,2024-12,-0.08680987
131,GOOG,0.01824,12/2/2024,10.21855975482254,0.18638653,2024-12,-0.08680987
132,NEM,0.03207,12/2/2024,-9.01979956,-0.289264972,2024-12,-0.08680987
133,OXY,0.00477,12/2/2024,-1.554488602,-0.007414911,2024-12,-0.08680987
134,ROST,0.00284,12/2/2024,-3.02706358,-0.008596861,2024-12,-0.08680987
135,SPGI,0.0005,12/2/2024,-4.750702852,-0.002375351,2024-12,-0.08680987
136,SYY,0.04731,12/2/2024,0.2491149862290172,0.01178563,2024-12,-0.08680987
137,TSN,0.10379,12/2/2024,-10.72427728,-1.113072739,2024-12,-0.08680987
138,UNH,0.13176,12/2/2024,-16.55904866,-2.181820251,2024-12,-0.08680987
139,VLO,0.04448,12/2/2024,-12.52319109,-0.55703154,2024-12,-0.08680987
140,WEC,0.16458,12/2/2024,-5.639173189,-0.928095123,2024-12,-0.08680987
141,WELL,0.0418,12/2/2024,-5.968812952,-0.249496381,2024-12,-0.08680987
142,ABT,0.14985,1/2/2025,13.83298458549436,2.07287274,2025-01,0.035146337
143,ADM,0.03002,1/2/2025,-0.39824771,-0.011955396,2025-01,0.035146337
144,BA,0.08603,1/2/2025,2.327340431721652,0.2002210973410137,2025-01,0.035146337
145,CNP,0.12705,1/2/2025,3.239123531528946,0.4115306446807526,2025-01,0.035146337
146,EA,0.05095,1/2/2025,-15.75736806,-0.802837903,2025-01,0.035146337
147,GOOG,0.16032,1/2/2025,6.300157104,1.010041186858507,2025-01,0.035146337
148,OXY,0.03544,1/2/2025,-6.906243726,-0.244757278,2025-01,0.035146337
149,SYY,0.11934,1/2/2025,-3.845060171,-0.458869481,2025-01,0.035146337
150,TGT,0.01958,1/2/2025,-2.208615788,-0.043244697,2025-01,0.035146337
151,TSN,0.01851,1/2/2025,-0.705073087,-0.013050903,2025-01,0.035146337
152,WEC,0.20292,1/2/2025,6.873071603,1.39468369,2025-01,0.035146337
153,ABT,0.12004,2/3/2025,7.107824056100483,0.8532231996943019,2025-02,0.01224628
154,ADM,0.04027,2/3/2025,-7.379047945,-0.297154261,2025-02,0.01224628
155,APD,0.02399,2/3/2025,-9.678468956,-0.23218647,2025-02,0.01224628
156,CMCSA,0.03,2/3/2025,6.959927689237901,0.208797831,2025-02,0.01224628
157,CNP,0.00955,2/3/2025,4.305564763500286,0.041118143,2025-02,0.01224628
158,EA,0.16599,2/3/2025,7.404533737772283,1.229078555132821,2025-02,0.01224628
159,GLW,0.02693,2/3/2025,-8.958977012,-0.241265251,2025-02,0.01224628
160,GOOG,0.02781,2/3/2025,-14.81938096,-0.412126985,2025-02,0.01224628
161,NEM,0.03082,2/3/2025,-0.834879406,-0.025730983,2025-02,0.01224628
162,OXY,0.00647,2/3/2025,0.3450506792946442,0.002232478,2025-02,0.01224628
163,ROST,0.00623,2/3/2025,-7.547426396,-0.047020466,2025-02,0.01224628
164,SYY,0.04145,2/3/2025,3.609459272666669,0.1496120868520334,2025-02,0.01224628
165,TSN,0.10207,2/3/2025,5.634140835024297,0.575076755,2025-02,0.01224628
166,UNH,0.12362,2/3/2025,-13.4207742,-1.659076106,2025-02,0.01224628
167,VLO,0.04321,2/3/2025,-6.29314143,-0.271926641,2025-02,0.01224628
168,WEC,0.16439,2/3/2025,5.937709268145582,0.9761000265904523,2025-02,0.01224628
169,WELL,0.03716,2/3/2025,10.1150715,0.3758760568029058,2025-02,0.01224628
170,ABT,0.11732,3/3/2025,-5.39865925,-0.633370703,2025-03,0.034263727
171,ADM,0.04077,3/3/2025,3.069987119,0.1251633748389865,2025-03,0.034263727
172,APD,0.02471,3/3/2025,-5.063576372,-0.125120972,2025-03,0.034263727
173,CMCSA,0.03025,3/3/2025,2.556976097778033,0.077348527,2025-03,0.034263727
174,CNP,0.0128,3/3/2025,4.801851316170087,0.061463697,2025-03,0.034263727
175,EA,0.16069,3/3/2025,11.83161804534552,1.901222703706572,2025-03,0.034263727
176,GLW,0.02763,3/3/2025,-5.119170984,-0.141442694,2025-03,0.034263727
177,GOOG,0.0326,3/3/2025,-7.264333399,-0.236817269,2025-03,0.034263727
178,NEM,0.02997,3/3/2025,14.64573463700056,0.4389326670709067,2025-03,0.034263727
179,OXY,0.00655,3/3/2025,6.803304919623045,0.044561647,2025-03,0.034263727
180,ROST,0.00665,3/3/2025,-6.287291101,-0.041810486,2025-03,0.034263727
181,SYY,0.04302,3/3/2025,-0.858766019,-0.036944114,2025-03,0.034263727
182,TSN,0.1028,3/3/2025,3.202328966521108,0.3291994177583699,2025-03,0.034263727
183,UNH,0.12108,3/3/2025,12.63041569494783,1.529290732344283,2025-03,0.034263727
184,VLO,0.04236,3/3/2025,2.858255452,0.1210757009345792,2025-03,0.034263727
185,WEC,0.16586,3/3/2025,0.5721668512366165,0.094899594,2025-03,0.034263727
186,WELL,0.03493,3/3/2025,-2.326915721,-0.081279166,2025-03,0.034263727
187,ABT,0.11475,4/1/2025,-0.249696307,-0.028652651,2025-04,-0.038500762
188,ADM,0.03634,4/1/2025,-0.954158888,-0.034674134,2025-04,-0.038500762
189,AMZN,0.00051,4/1/2025,-4.032887547,-0.002056773,2025-04,-0.038500762
190,APD,0.0232,4/1/2025,-7.619696712,-0.176776964,2025-04,-0.038500762
191,CMCSA,0.02781,4/1/2025,-6.023212344,-0.167505535,2025-04,-0.038500762
192,CNP,0.0192,4/1/2025,5.380434782608702,0.1033043478260871,2025-04,-0.038500762
193,EA,0.15898,4/1/2025,-0.398160225,-0.063299513,2025-04,-0.038500762
194,GLW,0.03149,4/1/2025,-2.547211243,-0.080211682,2025-04,-0.038500762
195,GOOG,0.03571,4/1/2025,1.265102239432281,0.045176801,2025-04,-0.038500762
196,NEM,0.03172,4/1/2025,9.090909091,0.288363636,2025-04,-0.038500762
197,OXY,0.00576,4/1/2025,-19.88208986,-0.114520838,2025-04,-0.038500762
198,ROST,0.00583,4/1/2025,7.660134768801782,0.044658586,2025-04,-0.038500762
199,SPGI,0.00166,4/1/2025,-2.10070872,-0.003487176,2025-04,-0.038500762
200,SYY,0.03764,4/1/2025,-4.654316566,-0.175188476,2025-04,-0.038500762
201,TSN,0.10339,4/1/2025,-2.963080336,-0.306352876,2025-04,-0.038500762
202,UNH,0.12485,4/1/2025,-21.3488301,-2.665401438,2025-04,-0.038500762
203,VLO,0.04279,4/1/2025,-13.19724839,-0.564710259,2025-04,-0.038500762
204,WEC,0.15844,4/1/2025,0.5785655248415935,0.091667922,2025-04,-0.038500762
205,WELL,0.03993,4/1/2025,-1.012001297,-0.040409212,2025-04,-0.038500762
